epoch;accuracy;loss;mean_squared_error;val_accuracy;val_loss;val_mean_squared_error
0;0.6395639;0.7718532710042182;0.15138273;0.5659722;0.8423346992996004;0.1697635
1;0.6490214;0.7541752018393628;0.14815545;0.5729167;0.7825601994991302;0.15987016
2;0.66071194;0.7518649152069637;0.14750782;0.6215278;0.724868893623352;0.14784409
3;0.6572967;0.7493162249024964;0.14640798;0.6458333;0.7437962724102868;0.15150727
4;0.65663993;0.7486658728922868;0.14684516;0.6145833;0.7624847673707538;0.15536395
5;0.662945;0.7430285482749227;0.14532886;0.6423611;0.7383263342910342;0.15017757
6;0.66189414;0.742928812495359;0.14554787;0.6284722;0.726757718457116;0.14845015
7;0.66622883;0.7341396027022837;0.14387047;0.5763889;0.8277299900849661;0.16670719
8;0.66754234;0.7315547758781626;0.14379074;0.6388889;0.7122069597244263;0.14559235
9;0.67213976;0.7319966861472937;0.14319998;0.6215278;0.808396601014667;0.16129218
0;0.6683305;0.7251826520428368;0.14253764;0.6493056;0.7472789784272512;0.15155888
1;0.6664915;0.7236433668439122;0.14214192;0.6770833;0.6925125983026292;0.14269273
2;0.6738474;0.7205985274293585;0.14117335;0.6180556;0.8087623731957542;0.16120067
3;0.67581767;0.723139374230767;0.14120893;0.6041667;0.7601371457179388;0.15529735
4;0.67358464;0.7203337918298091;0.1407688;0.6493056;0.7503421190712187;0.15274003
5;0.67765665;0.7106807046034921;0.13984337;0.6770833;0.7095781862735748;0.14464861
6;0.6775253;0.7087198985823974;0.13875327;0.6840278;0.703245523903105;0.14178234
7;0.6810719;0.7059742227719301;0.13871424;0.6979167;0.710824214749866;0.1437348
8;0.6877709;0.7026535605931742;0.13743223;0.6736111;0.7036501980490155;0.14394249
9;0.6773939;0.7047709001045448;0.13837099;0.6701389;0.6725879030095206;0.13917314
10;0.6858006;0.6921777089008846;0.13593154;0.6458333;0.7577155530452728;0.15059061
11;0.68304217;0.6942858990836235;0.13677345;0.6805556;0.7415560450818803;0.14679821
